year,rank,overall_wins,overall_win_loss_percentage,conference_wins,conference_losses,own_points_per_game,simple_rating_system,ap_pre,ap_high,ap_final,conference_tournament_champion,poy,points,steals,steals per game,assists,assists per game,blocks,blocks per game,champion
1989,1,29,0.853,13,3,77.0,10.36,2,2,2,True,0,0,0,0,0,0,1,1,0
1989,1,19,0.704,11,3,57.3,-7.13,26,26,26,False,0,0,0,0,0,0,0,0,0
1989,3,19,0.576,12,6,76.6,7.66,26,26,26,False,0,0,0,0,0,0,0,0,0
1989,1,22,0.71,10,4,84.5,7.16,18,13,19,False,0,0,0,0,1,1,0,0,0
1989,4,19,0.633,8,4,75.1,4.53,26,16,26,False,0,0,0,0,0,0,0,0,0
1989,4,23,0.697,10,8,89.6,9.71,7,4,14,False,0,0,0,0,0,0,0,0,0
1989,3,18,0.581,13,5,76.9,0.58,26,26,26,True,0,0,0,0,0,0,0,0,0
1989,3,19,0.633,8,6,77.3,10.41,26,26,26,False,0,0,0,0,0,0,0,0,0
1989,5,19,0.613,9,9,75.4,10.09,26,26,26,False,0,0,1,0,0,0,0,0,0
1989,2,26,0.788,15,3,76.3,8.67,20,12,13,False,0,0,0,0,0,0,0,0,0
1989,1,25,0.833,16,1,84.9,-5.65,26,26,26,True,0,0,0,0,0,0,0,0,0
1989,1,26,0.839,17,1,78.5,-0.86,26,11,17,False,0,0,0,0,0,0,0,0,0
1989,5,19,0.633,11,7,84.0,5.41,26,16,26,False,0,0,0,0,0,0,0,0,0
1989,2,28,0.778,9,5,86.5,8.2,1,1,9,False,0,0,0,0,0,0,0,0,0
1989,1,25,0.758,14,2,81.5,-9.96,26,26,26,True,0,0,0,0,0,0,0,0,0
1989,2,31,0.861,14,4,86.4,12.42,9,1,3,False,0,0,0,0,0,0,0,0,0
1989,3,16,0.533,9,5,73.8,-3.23,26,26,26,True,0,0,0,0,0,0,0,0,0
1989,4,17,0.567,9,7,78.9,11.72,26,26,26,False,0,0,0,0,0,0,0,0,0
1989,1,29,0.906,14,2,71.1,0.12,26,18,18,True,0,0,0,0,0,0,0,0,0
1989,1,25,0.781,13,3,89.7,2.76,26,26,26,True,0,0,0,0,0,0,0,0,0
1989,3,20,0.645,10,4,110.7,2.88,26,26,26,True,0,1,0,0,0,0,0,0,0
1989,2,24,0.727,8,4,82.2,9.28,4,3,12,True,0,0,0,0,0,0,0,0,0
1989,2,23,0.742,14,4,92.0,-1.39,26,26,26,True,0,0,0,0,0,0,0,0,0
1989,5,20,0.625,8,6,80.2,8.19,13,11,26,False,0,0,0,0,0,0,0,0,0
